,PANDAID,MODIFTIME_EXTENDED,PRE-FAILED/FAILED,COMPUTINGSITE,MODIFICATIONHOST,ATTEMPTNR,FINAL_STATUS,START_TS,END_TS,DURATION
276,4729445856,2020-05-18 18:27:00.727618,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.727618,2020-05-18 18:33:15.068726,0.10398364111111111
288,4729445857,2020-05-18 18:33:15.084679,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:15.084679,2020-05-25 19:36:59.185958,169.0622503552778
289,4729445857,2020-05-25 19:36:59.185958,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.185958,2020-05-25 19:36:59.185958,0.0
287,4729445857,2020-05-18 18:27:00.740034,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.740034,2020-05-18 18:33:15.084679,0.1039846236111111
299,4729445858,2020-05-20 18:35:06.371829,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-20 18:35:06.371829,2020-05-20 18:35:06.371829,0.0
297,4729445858,2020-05-20 18:29:46.700476,holding,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-20 18:29:46.700476,2020-05-20 18:35:06.371829,0.08879759805555555
309,4729445859,2020-05-18 18:33:15.435626,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:15.435626,2020-05-25 19:36:59.245061,169.06216928750004
310,4729445859,2020-05-25 19:36:59.245061,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.245061,2020-05-25 19:36:59.245061,0.0
308,4729445859,2020-05-18 18:27:00.754185,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.754185,2020-05-18 18:33:15.435626,0.10407817805555555
320,4729445860,2020-05-18 18:33:15.680327,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:15.680327,2020-05-25 19:36:59.301391,169.06211696222223
321,4729445860,2020-05-25 19:36:59.301391,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.301391,2020-05-25 19:36:59.301391,0.0
319,4729445860,2020-05-18 18:27:00.774359,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.774359,2020-05-18 18:33:15.680327,0.10414054666666668
331,4729445861,2020-05-18 18:33:15.786827,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:15.786827,2020-05-25 19:36:59.365085,169.0621050716667
332,4729445861,2020-05-25 19:36:59.365085,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.365085,2020-05-25 19:36:59.365085,0.0
330,4729445861,2020-05-18 18:27:00.786912,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.786912,2020-05-18 18:33:15.786827,0.10416664305555558
342,4729445862,2020-05-18 18:33:16.084340,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:16.084340,2020-05-25 19:36:59.450185,169.06204606805557
343,4729445862,2020-05-25 19:36:59.450185,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.450185,2020-05-25 19:36:59.450185,0.0
341,4729445862,2020-05-18 18:27:00.799851,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.799851,2020-05-18 18:33:16.084340,0.1042456913888889
353,4729445863,2020-05-18 18:33:16.432412,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:16.432412,2020-05-25 19:36:59.512376,169.06196665666667
354,4729445863,2020-05-25 19:36:59.512376,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.512376,2020-05-25 19:36:59.512376,0.0
352,4729445863,2020-05-18 18:27:00.811616,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.811616,2020-05-18 18:33:16.432412,0.10433911000000001
364,4729445864,2020-05-18 18:33:16.533483,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:16.533483,2020-05-25 19:36:59.582108,169.0619579513889
365,4729445864,2020-05-25 19:36:59.582108,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.582108,2020-05-25 19:36:59.582108,0.0
363,4729445864,2020-05-18 18:27:00.824301,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.824301,2020-05-18 18:33:16.533483,0.10436366166666668
375,4729445867,2020-05-18 18:33:16.779782,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:16.779782,2020-05-25 19:36:59.662955,169.06191199250003
376,4729445867,2020-05-25 19:36:59.662955,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.662955,2020-05-25 19:36:59.662955,0.0
374,4729445867,2020-05-18 18:27:00.836254,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.836254,2020-05-18 18:33:16.779782,0.10442875777777778
386,4729445868,2020-05-18 18:33:17.166771,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:17.166771,2020-05-25 19:36:59.729289,169.06182292166667
387,4729445868,2020-05-25 19:36:59.729289,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.729289,2020-05-25 19:36:59.729289,0.0
385,4729445868,2020-05-18 18:27:00.851690,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.851690,2020-05-18 18:33:17.166771,0.10453196694444444
397,4729445870,2020-05-18 18:33:17.184217,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:17.184217,2020-05-25 19:36:59.803695,169.06183874388893
398,4729445870,2020-05-25 19:36:59.803695,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.803695,2020-05-25 19:36:59.803695,0.0
396,4729445870,2020-05-18 18:27:00.869395,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.869395,2020-05-18 18:33:17.184217,0.10453189500000001
408,4729445871,2020-05-18 18:33:17.547655,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:17.547655,2020-05-25 19:36:59.889469,169.061761615
409,4729445871,2020-05-25 19:36:59.889469,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.889469,2020-05-25 19:36:59.889469,0.0
407,4729445871,2020-05-18 18:27:00.885645,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.885645,2020-05-18 18:33:17.547655,0.10462833611111111
419,4729445873,2020-05-18 18:33:17.923880,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:17.923880,2020-05-25 19:36:59.962353,169.06167735361115
420,4729445873,2020-05-25 19:36:59.962353,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:36:59.962353,2020-05-25 19:36:59.962353,0.0
418,4729445873,2020-05-18 18:27:00.901901,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.901901,2020-05-18 18:33:17.923880,0.10472832750000001
430,4729445875,2020-05-18 18:33:17.944018,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:33:17.944018,2020-05-25 19:37:00.030593,169.06169071527782
431,4729445875,2020-05-25 19:37:00.030593,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:37:00.030593,2020-05-25 19:37:00.030593,0.0
429,4729445875,2020-05-18 18:27:00.921059,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-18 18:27:00.921059,2020-05-18 18:33:17.944018,0.10472859972222223
441,4729445877,2020-05-18 18:35:03.186387,failed,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:35:03.186387,2020-05-25 19:37:00.091750,169.03247371194445
442,4729445877,2020-05-25 19:37:00.091750,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:37:00.091750,2020-05-25 19:37:00.091750,0.0
440,4729445877,2020-05-18 18:29:34.918347,holding,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:29:34.918347,2020-05-18 18:35:03.186387,0.09118556666666669
452,4729445879,2020-05-18 18:35:04.061443,failed,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:35:04.061443,2020-05-25 19:37:00.177265,169.03225439500002
453,4729445879,2020-05-25 19:37:00.177265,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:37:00.177265,2020-05-25 19:37:00.177265,0.0
451,4729445879,2020-05-18 18:29:34.930545,holding,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:29:34.930545,2020-05-18 18:35:04.061443,0.09142524944444445
463,4729445880,2020-05-18 18:35:03.981370,failed,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:35:03.981370,2020-05-25 19:37:00.239491,169.03229392250003
464,4729445880,2020-05-25 19:37:00.239491,failed,ANALY_DCSC,aipanda052.cern.ch,1,failed,2020-05-25 19:37:00.239491,2020-05-25 19:37:00.239491,0.0
